date,year,month,day,x_bng,y_bng,latitude,longitude,dist_from_uni_m,rainfall_mm
2023-01-01,2023,1,1,257500.0,662500.0,55.83467987242347,-4.275570996161421,4290.841991963815,0.1675152707579178
2023-01-01,2023,1,1,262500.0,662500.0,55.83613012441601,-4.195793465818992,2929.3898682148815,0.1666926059372691
2023-01-01,2023,1,1,257500.0,667500.0,55.879574159628305,-4.278197631229293,4283.844651711825,0.1674662648077018
2023-01-01,2023,1,1,262500.0,667500.0,55.88102684588964,-4.198328199669799,2919.1308638017586,0.1572020916846687
2023-01-02,2023,1,2,257500.0,662500.0,55.83467987242347,-4.275570996161421,4290.841991963815,0.5736699455996134
2023-01-02,2023,1,2,262500.0,662500.0,55.83613012441601,-4.195793465818992,2929.3898682148815,0.4607433584281629
2023-01-02,2023,1,2,257500.0,667500.0,55.879574159628305,-4.278197631229293,4283.844651711825,0.766972477002521
2023-01-02,2023,1,2,262500.0,667500.0,55.88102684588964,-4.198328199669799,2919.1308638017586,0.6560589518602332
2023-01-03,2023,1,3,257500.0,662500.0,55.83467987242347,-4.275570996161421,4290.841991963815,9.312789132748152
2023-01-03,2023,1,3,262500.0,662500.0,55.83613012441601,-4.195793465818992,2929.3898682148815,6.745653566820489
2023-01-03,2023,1,3,257500.0,667500.0,55.879574159628305,-4.278197631229293,4283.844651711825,11.3381151538366
2023-01-03,2023,1,3,262500.0,667500.0,55.88102684588964,-4.198328199669799,2919.1308638017586,9.29945292936749
2023-01-04,2023,1,4,257500.0,662500.0,55.83467987242347,-4.275570996161421,4290.841991963815,1.5780720857784274
2023-01-04,2023,1,4,262500.0,662500.0,55.83613012441601,-4.195793465818992,2929.3898682148815,0.8928149573850267
2023-01-04,2023,1,4,257500.0,667500.0,55.879574159628305,-4.278197631229293,4283.844651711825,1.279643941415151
2023-01-04,2023,1,4,262500.0,667500.0,55.88102684588964,-4.198328199669799,2919.1308638017586,1.1432881012905172
2023-01-05,2023,1,5,257500.0,662500.0,55.83467987242347,-4.275570996161421,4290.841991963815,9.71686967585447
2023-01-05,2023,1,5,262500.0,662500.0,55.83613012441601,-4.195793465818992,2929.3898682148815,9.461843153163075
2023-01-05,2023,1,5,257500.0,667500.0,55.879574159628305,-4.278197631229293,4283.844651711825,7.742297393157463
2023-01-05,2023,1,5,262500.0,667500.0,55.88102684588964,-4.198328199669799,2919.1308638017586,9.405333444030266
2023-01-06,2023,1,6,257500.0,662500.0,55.83467987242347,-4.275570996161421,4290.841991963815,6.977404226653875
2023-01-06,2023,1,6,262500.0,662500.0,55.83613012441601,-4.195793465818992,2929.3898682148815,5.7605302673043095
2023-01-06,2023,1,6,257500.0,667500.0,55.879574159628305,-4.278197631229293,4283.844651711825,7.737501231733382
2023-01-06,2023,1,6,262500.0,667500.0,55.88102684588964,-4.198328199669799,2919.1308638017586,6.877929078665993
2023-01-07,2023,1,7,257500.0,662500.0,55.83467987242347,-4.275570996161421,4290.841991963815,1.3207625346292222
2023-01-07,2023,1,7,262500.0,662500.0,55.83613012441601,-4.195793465818992,2929.3898682148815,0.987761115978298
2023-01-07,2023,1,7,257500.0,667500.0,55.879574159628305,-4.278197631229293,4283.844651711825,1.2567600920443085
2023-01-07,2023,1,7,262500.0,667500.0,55.88102684588964,-4.198328199669799,2919.1308638017586,1.1953249054773167
2023-01-08,2023,1,8,257500.0,662500.0,55.83467987242347,-4.275570996161421,4290.841991963815,2.238948681040284
2023-01-08,2023,1,8,262500.0,662500.0,55.83613012441601,-4.195793465818992,2929.3898682148815,1.642163673866794
2023-01-08,2023,1,8,257500.0,667500.0,55.879574159628305,-4.278197631229293,4283.844651711825,2.7297172698359726
2023-01-08,2023,1,8,262500.0,667500.0,55.88102684588964,-4.198328199669799,2919.1308638017586,2.1297020209952855
2023-01-09,2023,1,9,257500.0,662500.0,55.83467987242347,-4.275570996161421,4290.841991963815,6.651628282636074
2023-01-09,2023,1,9,262500.0,662500.0,55.83613012441601,-4.195793465818992,2929.3898682148815,6.438422293598905
2023-01-09,2023,1,9,257500.0,667500.0,55.879574159628305,-4.278197631229293,4283.844651711825,6.683414939780847
2023-01-09,2023,1,9,262500.0,667500.0,55.88102684588964,-4.198328199669799,2919.1308638017586,6.226279769902201
2023-01-10,2023,1,10,257500.0,662500.0,55.83467987242347,-4.275570996161421,4290.841991963815,13.3451909746217
2023-01-10,2023,1,10,262500.0,662500.0,55.83613012441601,-4.195793465818992,2929.3898682148815,11.906164155083465
2023-01-10,2023,1,10,257500.0,667500.0,55.879574159628305,-4.278197631229293,4283.844651711825,15.67894568564053
2023-01-10,2023,1,10,262500.0,667500.0,55.88102684588964,-4.198328199669799,2919.1308638017586,13.341273735862234
2023-01-11,2023,1,11,257500.0,662500.0,55.83467987242347,-4.275570996161421,4290.841991963815,3.7245072113027686
2023-01-11,2023,1,11,262500.0,662500.0,55.83613012441601,-4.195793465818992,2929.3898682148815,3.0917574049141057
2023-01-11,2023,1,11,257500.0,667500.0,55.879574159628305,-4.278197631229293,4283.844651711825,4.5194876510941215
2023-01-11,2023,1,11,262500.0,667500.0,55.88102684588964,-4.198328199669799,2919.1308638017586,4.345066154097258
2023-01-12,2023,1,12,257500.0,662500.0,55.83467987242347,-4.275570996161421,4290.841991963815,8.968669520743324
2023-01-12,2023,1,12,262500.0,662500.0,55.83613012441601,-4.195793465818992,2929.3898682148815,7.4785099001844095
2023-01-12,2023,1,12,257500.0,667500.0,55.879574159628305,-4.278197631229293,4283.844651711825,9.29033657742908
2023-01-12,2023,1,12,262500.0,667500.0,55.88102684588964,-4.198328199669799,2919.1308638017586,8.803374334050947
2023-01-13,2023,1,13,257500.0,662500.0,55.83467987242347,-4.275570996161421,4290.841991963815,10.53442298566801
2023-01-13,2023,1,13,262500.0,662500.0,55.83613012441601,-4.195793465818992,2929.3898682148815,9.50993272680992
2023-01-13,2023,1,13,257500.0,667500.0,55.879574159628305,-4.278197631229293,4283.844651711825,11.969109240427356
2023-01-13,2023,1,13,262500.0,667500.0,55.88102684588964,-4.198328199669799,2919.1308638017586,11.30866968318562
2023-01-14,2023,1,14,257500.0,662500.0,55.83467987242347,-4.275570996161421,4290.841991963815,8.961898871341193
